Li,Na,Ca,Si,B,Al,O,Tliquidus
0.0,0.09253958944782134,0.0,0.012814200260534772,0.3290992060186655,0.0,0.5655470042729784,1062.15
0.0,0.0,0.23142599547245016,0.17904930456255538,0.0,0.0,0.5895246999649943,1747.15
0.0,0.08548743968543389,0.026711148487308597,0.15229469837696408,0.05877628642975384,0.08548743968543389,0.5909752875345234,1208.15
0.0,0.0,0.19250349976849707,0.07042643667087131,0.0,0.15782729302923684,0.5746700758654139,1823.15
0.0,0.033542556987645536,0.10388229655069828,0.15758358894644522,0.06276775432889613,0.0449005384151589,0.5973232647711559,1403.15
0.0,0.10569600305309776,0.0,0.19261700041031227,0.011549160699061069,0.08791874098266368,0.5950840108954413,1279.15
0.0,0.010945240219619562,0.08651473014086751,0.20424369738207615,0.0252010892911067,0.0501994798753653,0.6181866051270029,1463.15
0.0,0.0,0.0,0.05415170734970977,0.0,0.3350179244774647,0.6108303681728255,2123.15
0.15721230040492987,0.0,0.0,0.2317666125606679,0.0,0.027552669902288215,0.5834684171321141,1273.15
0.0,0.0,0.020551147421839853,0.19978976754901695,0.07724194092713095,0.056515644085178424,0.6378153239620866,1441.15
0.0688666693894069,0.2223333030303312,0.0,0.18773331136067653,0.0,0.0,0.5210667162195853,1134.15
0.0,0.0,0.31084510506777663,0.1261032950772925,0.0,0.0,0.5630515998549309,2332.15
0.0,0.17046031426346464,0.0,0.20510871642517176,0.0,0.051593322167808896,0.5728376471435547,1023.15
0.0,0.11246590062853937,0.0,0.0124658803629594,0.31756140890937123,0.0,0.5575068100991301,1017.15
0.0,0.10028599976307193,0.0,0.19698170174223856,0.0,0.0960262988871597,0.5975780246951449,1441.15
0.0,0.12044949244381208,0.0,0.24013068580315866,0.0,0.039573530207311386,0.5998462915457179,1168.15
0.18179340535920527,0.0,0.0,0.0908966931428594,0.18184789831016449,0.0,0.5454620031877708,1063.15
0.0,0.0997899837453839,0.0,0.20018000030860905,0.0,0.09990999412364948,0.6001200218223576,1413.15
0.0,0.16709868020265148,0.017908239094359422,0.2312249757779708,0.007944253630421906,0.0,0.5758238512945963,1027.15
0.0,0.14689859853606133,0.0,0.2003528909565437,0.0,0.07143741846055064,0.5813110920468442,1193.15
0.0,0.0,0.042801561763778334,0.2464332031863518,0.0,0.07003891058005247,0.6407263244698174,1729.15
0.0,0.0,0.0,0.125,0.0,0.25,0.625,2181.15
0.0,0.0,0.07991371154785158,0.0,0.3360689926147461,0.0,0.5840172958374024,1254.15
